"","year","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75_79","age80_84","age85_89","age90_94","age95_99","age100_"
"1",1995,2990,3821,6881,12802,17868,24936,38447,48192,47677,51643,56872,40586,18225,4240,519
"2",1996,2899,3851,6324,13413,16819,23735,37847,48590,49489,49675,54156,40248,17448,4384,535
"3",1997,2981,3678,5891,13104,17002,24299,36629,49354,52924,50657,55730,42962,19013,4848,590
"4",1998,3247,3988,6117,12938,18584,25071,36658,50856,57456,52006,55586,44435,20540,5297,606
"5",1999,3424,4076,6041,12191,19300,26956,35464,51325,61704,57020,57980,48756,23426,6202,797
"6",2000,3440,4046,5813,10857,19872,26392,34796,50352,61989,58455,56867,48007,23900,6109,802
"7",2001,3417,4127,5653,9995,20977,24965,33510,49219,62569,62275,55967,49009,25527,6485,939
"8",2002,3513,3961,5625,9383,20427,24887,33466,47885,63226,67122,57305,50147,27036,7160,1038
"9",2003,3727,4122,5927,9320,19388,26112,34094,47413,64614,71800,60164,51549,29386,8125,1184
"10",2004,3701,4220,5680,8899,17469,26438,35509,46200,64197,76352,64538,51338,30911,9005,1340
"11",2005,3601,4249,5684,8717,16079,28194,36006,45788,66106,80859,71538,55689,34141,10469,1503
"12",2006,3434,4245,5519,8344,14456,28881,34017,45021,64365,81697,75770,55767,34744,10971,1482
"13",2007,3305,4419,5537,8131,13433,28532,34055,45837,64448,82581,83199,58259,35983,11846,1677
"14",2008,3173,4329,5422,8002,12757,26350,35321,46671,63952,84779,90257,61884,37949,13101,2088
"15",2009,3013,4444,5668,7846,12535,24163,36114,47645,61094,83608,93248,66009,37652,13732,2089
"16",2010,2924,4252,5553,7836,12073,22476,38609,48394,61638,85578,99139,74479,41059,15294,2526
"17",2011,2902,4384,5933,7825,12085,21150,41962,47860,63423,88363,103594,82255,43156,16131,2705
"18",2012,2435,3843,5533,7366,11201,18705,39706,46958,63094,86995,105241,89235,45373,16751,2887
"19",2013,2356,3663,5414,7376,11066,17669,36877,48584,63716,86187,107337,95311,46903,16854,2901
"20",2014,2379,3277,5278,7147,10543,16945,33418,50350,66010,84177,106422,99691,50565,16730,3060
"21",2015,2173,3046,5132,6998,10453,16238,30531,52574,66104,82925,108207,103839,56066,17529,3406
"22",2016,2066,2893,4841,7200,10230,15878,28361,55809,62508,83315,109798,107737,61778,18947,3658
"23",2017,1999,2725,4551,7218,10036,15393,26364,55104,64247,85589,111909,112606,68726,20444,3764
"24",2018,1920,2615,4358,7144,10237,15291,25485,51276,67088,87320,111982,116156,73858,21415,3696
"25",2019,1826,2519,4082,7138,10296,15174,24682,47606,69712,91251,111518,118628,78581,23366,3781
